zeta zeta_e psi t_s omega taus_mean taus_std taus_skewness taus_kurtosis taus_median taus_iqr epsilons_mean epsilons_std epsilons_skewness epsilons_kurtosis epsilons_median epsilons_iqr Ne_s_mean Ne_s_std Ne_s_skewness Ne_s_kurtosis Ne_s_median Ne_s_iqr pop0-[[5_1]] pop0-[[4_2]] pop0-[[3_3]] pop1-[[5_1]] pop1-[[4_2]] pop1-[[3_3]] pop2-[[5_1]] pop2-[[4_2]] pop2-[[3_3]] pop3-[[5_1]] pop3-[[4_2]] pop3-[[3_3]] pop4-[[5_1]] pop4-[[4_2]] pop4-[[3_3]] pop5-[[5_1]] pop5-[[4_2]] pop5-[[3_3]] pop6-[[5_1]] pop6-[[4_2]] pop6-[[3_3]] pop7-[[5_1]] pop7-[[4_2]] pop7-[[3_3]] pop8-[[5_1]] pop8-[[4_2]] pop8-[[3_3]] pop9-[[5_1]] pop9-[[4_2]] pop9-[[3_3]] pop10-[[5_1]] pop10-[[4_2]] pop10-[[3_3]] pop11-[[5_1]] pop11-[[4_2]] pop11-[[3_3]] pop12-[[5_1]] pop12-[[4_2]] pop12-[[3_3]] pop13-[[5_1]] pop13-[[4_2]] pop13-[[3_3]] pop14-[[5_1]] pop14-[[4_2]] pop14-[[3_3]] pop15-[[5_1]] pop15-[[4_2]] pop15-[[3_3]] pop16-[[5_1]] pop16-[[4_2]] pop16-[[3_3]] pop17-[[5_1]] pop17-[[4_2]] pop17-[[3_3]] pop18-[[5_1]] pop18-[[4_2]] pop18-[[3_3]] pop19-[[5_1]] pop19-[[4_2]] pop19-[[3_3]] pop20-[[5_1]] pop20-[[4_2]] pop20-[[3_3]]
0.513 11 1 0.261 0.162 0.419 0.261 1.613 1.258 0.261 0.213 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 65 29 11 54 27 8 51 25 8 50 23 8 49 22 8 49 21 8 46 21 7 46 19 6 45 18 6 45 17 6 44 17 6 43 16 6 42 16 6 42 16 5 41 15 5 41 15 4 40 13 4 38 13 2 38 12 2 36 12 1 35 12 0
0.313 7 1 0.735 0.058 0.767 0.211 -0.014 -0.058 0.735 0.127 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 83 40 25 68 39 21 67 38 17 66 38 17 65 37 17 65 36 16 63 35 16 62 32 16 62 31 14 61 31 14 61 31 13 60 31 13 59 30 13 58 29 13 57 29 13 56 29 12 56 28 12 54 28 10 53 26 10 51 24 9 45 21 8
0.230 5 1 0.398 0.107 0.677 0.270 0.435 -0.910 0.650 0.427 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 57 20 70 46 20 70 45 19 64 44 18 63 43 17 60 40 17 58 34 17 56 34 16 56 31 15 56 26 12 55 26 11 54 24 11 52 24 10 50 22 10 50 22 10 48 20 10 48 19 9 45 18 6 44 16 6 44 14 6 35 12 5
0.132 3 1 0.907 0.065 0.845 0.235 -0.570 0.026 0.891 0.178 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 51 21 78 44 21 77 42 20 75 39 20 75 39 19 73 38 19 72 37 18 71 36 18 69 35 16 65 34 15 63 33 15 62 32 14 62 32 14 60 32 13 59 31 13 57 29 13 55 28 12 53 27 12 48 26 9 46 20 9 41 20 7
0.151 3 1 1.050 0.079 0.847 0.259 -0.386 -1.214 0.954 0.429 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 86 49 24 84 47 23 78 46 22 74 43 21 71 42 20 71 41 19 71 40 19 69 39 18 66 39 17 64 37 16 64 37 16 63 36 15 61 35 14 58 33 14 56 32 13 54 31 12 53 30 12 52 27 12 47 26 10 47 25 10 37 23 10
0.198 4 1 1.025 0.118 0.777 0.302 -0.259 -1.367 0.826 0.560 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 48 23 74 46 21 72 44 20 71 44 19 70 42 18 66 41 18 64 40 18 64 39 16 63 39 16 63 38 15 62 38 14 61 34 14 61 33 13 61 31 13 60 29 12 56 27 10 56 24 9 54 23 9 52 17 8 47 15 7 43 15 5
0.146 3 1 0.639 0.121 0.653 0.281 0.749 -0.290 0.590 0.360 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 70 54 24 69 46 23 69 45 22 65 43 18 65 38 16 63 38 15 63 34 13 63 31 13 63 30 13 60 29 13 59 25 12 59 24 11 56 23 11 55 23 11 55 22 11 54 22 9 53 19 9 49 18 8 46 17 7 45 16 6 45 15 2
0.069 1 0 0.521 0.141 0.716 0.318 0.166 -1.513 0.572 0.597 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 86 46 21 82 45 20 77 44 20 71 42 19 70 41 18 66 41 16 65 40 16 64 37 15 62 36 14 62 35 13 60 34 12 58 32 12 57 29 12 57 29 11 54 29 10 53 27 9 51 23 9 49 23 8 44 21 8 42 21 7 36 20 6
0.277 6 1 0.465 0.093 0.626 0.241 1.128 -0.127 0.490 0.295 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 40 30 79 39 22 73 38 18 72 38 15 69 35 14 68 34 14 63 31 13 60 30 12 59 30 12 58 29 11 56 28 11 50 27 11 50 26 10 50 24 10 49 23 10 49 23 10 48 22 10 48 21 8 47 21 6 45 20 6 44 20 4
0.523 11 1 0.377 0.141 0.632 0.298 0.526 -1.435 0.377 0.571 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 58 38 13 57 34 12 56 33 11 56 27 10 55 26 10 55 26 10 54 25 9 52 24 9 52 23 8 51 23 8 50 23 8 46 22 8 45 21 8 45 20 7 44 20 7 44 20 7 43 20 6 41 19 5 41 19 5 41 18 5 41 17 5
